id,code,name,parent_id/id,user_type/id,type,reconcile
12,12,Поточні зобов’язання,1,account.data_account_type_view,View,False
120,120,Кредиторська заборгованість,12,account.data_account_type_view,View,False
1200,1200,Кредиторська заборгованість за товари та послуги,120,account.data_account_type_payable,Payable,True
1201,1201,Отримано на склад без рахунку-фактури,120,account.data_account_type_current_liabilities,Regular,True
1202,1202,Податок на прибуток,120,account.data_account_type_payable,Payable,True
1203,1203,ПДВ,120,account.data_account_type_payable,Payable,True
1204,1204,Податкові зобов’язання по ПДВ,120,account.data_account_type_output_tax,Regular,True
1205,1205,Податковий кредит по ПДВ,120,account.data_account_type_input_tax,Regular,True
1206,1206,ПДФО,120,account.data_account_type_payable,Payable,True
1207,1207,ЄСВ,120,account.data_account_type_payable,Payable,True
1208,1208,Інші податки,120,account.data_account_type_payable,Payable,True
1209,1209,Заробітня плата та винагороди,120,account.data_account_type_payable,Payable,True
121,121,Аванси одержані від покупців та замовників,12,account.data_account_type_view,View,False
1210,1210,Аванси одержані від покупців та замовників,121,account.data_account_type_payable,Payable,True
122,122,Інші короткострокові зобов’язання,12,account.data_account_type_view,View,False
1220,1220,Інші короткострокові зобов’язання,122,account.data_account_type_current_liabilities,Regular,True
123,123,Короткострокові позики,12,account.data_account_type_view,View,False
1230,1230,Короткострокові позики,123,account.data_account_type_current_liabilities,Regular,True
124,124,Короткострокова частка за довгострокові позики,12,account.data_account_type_view,View,False
1240,1240,Короткострокова частка за довгострокові позики,124,account.data_account_type_current_liabilities,Regular,True
13,13,Довгострокові зобов’язання,1,account.data_account_type_view,View,False
130,130,Довгострокові позики,13,account.data_account_type_view,View,False
1300,1300,Довгострокові позики,130,account.data_account_type_current_liabilities,Regular,False
1301,1301,Довгострокові кредити,130,account.data_account_type_current_liabilities,Regular,False
1302,1302,Іпотека,130,account.data_account_type_current_liabilities,Regular,False
131,131,Відстрочені податкові зобов’язання,13,account.data_account_type_view,View,False
1310,1310,Відстрочені податкові зобов’язання,131,account.data_account_type_current_liabilities,Regular,False
132,132,Доходи майбутніх періодів,13,account.data_account_type_view,View,False
1320,1320,Доходи майбутніх періодів,132,account.data_account_type_current_liabilities,Regular,False
133,133,Інші довгострокові зобов’язання,13,account.data_account_type_view,View,False
1330,1330,Інші довгострокові зобов’язання,133,account.data_account_type_current_liabilities,Regular,False
14,14,Капітал та резерви,1,account.data_account_type_view,View,False
1400,1400,Статутний капітал,14,account.data_account_type_equity,Regular,False
1401,1401,Емісійний фонд,14,account.data_account_type_equity,Regular,False
1402,1402,Вилучений капітал,14,account.data_account_type_equity,Regular,False
1403,1403,Додатковий оплачений капітал,14,account.data_account_type_equity,Regular,False
1404,1404,Резерв переоцінки,14,account.data_account_type_equity,Regular,False
1405,1405,Неоплачений капітал,14,account.data_account_type_equity,Regular,False
1406,1406,Нерозподілений прибуток (непокритий збиток),14,account.data_account_type_profit_and_loss,Regular,False
1407,1407,Частка меншості,14,account.data_account_type_equity,Regular,False
1408,1408,Ефект курсових різниць,14,account.data_account_type_equity,Regular,False
2,2,Доходи та витарти,UA0,account.data_account_type_view,View,False
20,20,Операційні доходи,2,account.data_account_type_view,View,False
2000,2000,Дохід від продажу (категорія № 1),20,account.data_account_type_income,Regular,False
2001,2001,Дохід від продажу (категорія № 2),20,account.data_account_type_income,Regular,False
2002,2002,Дохід від продажу (категорія № 3),20,account.data_account_type_income,Regular,False
2003,2003,Дохід від продажу (категорія № 4),20,account.data_account_type_income,Regular,False
21,21,Інші доходи,2,account.data_account_type_view,View,False
2100,2100,Неопераційний дохід,21,account.data_account_type_income,Regular,False
22,22,Операційні витрати,2,account.data_account_type_view,View,False
2200,2200,Собівартість продажу (категорія № 1),22,account.data_account_type_expense,Regular,False
2201,2201,Собівартість продажу (категорія № 2),22,account.data_account_type_expense,Regular,False
2202,2202,Собівартість продажу (категорія № 3),22,account.data_account_type_expense,Regular,False
2203,2203,Собівартість продажу (категорія № 4),22,account.data_account_type_expense,Regular,False
23,23,Адміністративні витрати,2,account.data_account_type_view,View,False
2300,2300,Адміністративні витрати,23,account.data_account_type_expense,Regular,False
24,24,Витрати на збут,2,account.data_account_type_view,View,False
2400,2400,Витрати на збут,24,account.data_account_type_expense,Regular,False
25,25,Інші витрати,2,account.data_account_type_view,View,False
2500,2500,Інші витрати,25,account.data_account_type_expense,Regular,False
26,26,Корпоративні податки,2,account.data_account_type_view,View,False
2600,2600,Податок на прибуток,26,account.data_account_type_expense,Regular,False
