id,c_sti,c_raj,t_sti,name,name_raj
587,2110,13,6,ГЕНIЧЕСЬКА ОДПI (IВАНIВСЬКЕ ВIД-НЯ),IВАНIВСЬКИЙ Р-Н
588,2119,14,6,СКАДОВСЬКА ОДПI ГУ МIНДОХОДIВ (КАЛАНЧАЦЬКЕ ВIД-НЯ),КАЛАНЧАЦЬКИЙ Р-Н
589,2115,15,6,КАХОВСЬКА ОДПI ГУ МIНДОХОДIВ У ХЕРСОНСЬКIЙ ОБЛАСТI,КАХОВСЬКИЙ Р-Н
590,2110,16,6,ГЕНIЧЕСЬКА ОДПI (НИЖНЬОСIРОГОЗЬКЕ ВIД-НЯ),НИЖНЬОСIРОГОЗЬКИЙ Р-Н
591,2102,17,6,НОВОКАХОВСЬКА ОДПI  (НОВОВОРОНЦОВСЬКЕ ВIДДIЛЕННЯ),НОВОВОРОНЦОВСЬКИЙ Р-Н
592,2110,18,6,ГЕНIЧЕСЬКА ОДПI (НОВОТРОЇЦЬКЕ ВIД-НЯ),НОВОТРОЇЦЬКИЙ Р-Н
593,2119,19,6,СКАДОВСЬКА ОДПI ГУ МIНДОХОДIВ У ХЕРСОНСЬКIЙ ОБЛАСТI,СКАДОВСЬКИЙ Р-Н
594,2102,2,6,НОВОКАХОВСЬКА ОДПI ГУ МIНДОХОДIВ У ХЕРСОНСЬКIЙ ОБЛАСТI,М.НОВА КАХОВКА
595,2120,20,6,ЦЮРУПИНСЬКА ОДПI ГУ МIНДОХОДIВ У ХЕРСОНСЬКIЙ ОБЛАСТI,ЦЮРУПИНСЬКИЙ Р-Н
596,2119,21,6,СКАДОВСЬКА ОДПI ГУ МIНДОХОДIВ (ЧАПЛИНСЬКЕ ВIД-НЯ),ЧАПЛИНСЬКИЙ Р-Н
597,2122,22,1,ГУ ДФС У ХЕРСОНСЬКIЙ ОБЛАСТI,ХЕРСОНСЬКА ОБЛАСТЬ
598,2103,3,2,ДПI У М.ХЕРСОНI ГУ  ДФС У ХЕРСОНСЬКIЙ ОБЛАСТI,М.ХЕРСОН
599,2103,31,2,ДПI У М.ХЕРСОНI ГУ МIНДОХОДIВ У ХЕРСОНСЬКIЙ ОБЛАСТI,ДНIПРОВСЬКИЙ Р-Н М.ХЕРСОН
600,2103,32,2,ДПI У М.ХЕРСОНI ГУ МIНДОХОДIВ У ХЕРСОНСЬКIЙ ОБЛАСТI,СУВОРОВСЬКИЙ Р-Н М.ХЕРСОН
601,2103,33,2,ДПI У М.ХЕРСОНI ГУ МIНДОХОДIВ У ХЕРСОНСЬКIЙ ОБЛАСТI,КОМСОМОЛЬСЬКИЙ Р-Н М.ХЕРСОН
602,2120,4,6,ЦЮРУПИНСЬКА ОДПI ГУ МIНДОХОДIВ (БIЛОЗЕРСЬКЕ ВIД-НЯ),БIЛОЗЕРСЬКИЙ Р-Н
603,2102,5,6,НОВОКАХОВСЬКА ОДПI (БЕРИСЛАВСЬКЕ ВIДДIЛЕННЯ),БЕРИСЛАВСЬКИЙ Р-Н
604,2102,6,6,НОВОКАХОВСЬКА ОДПI  (ВЕЛИКООЛЕКСАНДРIВСЬКЕ ВIДIЛЕННЯ),ВЕЛИКООЛЕКСАНДРIВСЬКИЙ Р-Н
605,2115,7,6,КАХОВСЬКА ОДПI ГУ МIНДОХОДIВ (ВЕЛИКОЛЕПЕТИСЬКЕ ВIД-НЯ),ВЕЛИКОЛЕПЕТИСЬКИЙ Р-Н
606,2199,70,14,ХЕРСОНСЬКА МИТНИЦЯ МIНДОХОДIВ,М.ХЕРСОН
607,2115,8,6,КАХОВСЬКА ОДПI ГУ МIНДОХОДIВ (В.РОГАЧИЦЬКЕ ВIД-НЯ),ВЕРХНЬОРОГАЧИЦЬКИЙ Р-Н
608,2102,9,6,НОВОКАХОВСЬКА ОДПI  (ВИСОКОПIЛЬСЬКЕ ВIДДIЛЕННЯ),ВИСОКОПIЛЬСЬКИЙ Р-Н
609,2148,97,12,УПРАВЛIННЯ ПОДАТКОВОЇ МIЛIЦIЇ ДПC У ХЕРСОНСЬКIЙ ОБЛАСТ,ХЕРСОНСЬКА ОБЛАСТЬ
610,2149,98,10,РУ ДЕПАРТАМЕНТУ САТ ДПC УКРАIНИ У ХЕРСОНСЬКIЙ ОБЛАСТI,ХЕРСОНСЬКА ОБЛАСТЬ
611,2201,1,1,ГУ ДФС У ХМЕЛЬНИЦЬКIЙ ОБЛАСТI,ХМЕЛЬНИЦЬКА ОБЛАСТЬ
612,2210,10,6,КРАСИЛIВСЬКА ОБ'ЄДНАНА ДПI,КРАСИЛIВСЬКИЙ Р-Н
613,2218,11,6,ХМЕЛЬНИЦЬКА ОДПI ГУ МIНДОХОДIВ (ЛЕТИЧIВСЬКЕ ВIД-НЯ),ЛЕТИЧIВСЬКИЙ Р-Н
614,2207,12,6,ДУНАЄВЕЦЬКА ОБ'ЄДНАНА ДПI (НОВОУШИЦЬКЕ ВIДДIЛЕНЯ),НОВОУШИЦЬКИЙ РАЙОН
615,2220,13,6,ШЕПЕТIВСЬКА ОДПI(ПОЛОНСЬКЕ ВIДДIЛЕНЯ) ГУ МIНДОХОДIВ,ПОЛОНСЬКИЙ Р-Н
616,2214,14,6,СЛАВУТСЬКА ОБ'ЄДНАНА ДПI,СЛАВУТСЬКИЙ Р-Н
617,2210,15,6,КРАСИЛIВСЬКА ОБ'ЄДНАНА ДПI (СТАРОКОНСТЯНТИНIВСЬКЕ В-НЯ,СТАРОКОСТЯНТИНIВСЬКИЙ Р-Н
618,2210,16,6,КРАСИЛIВСЬКА ОБ'ЄДНАНА ДПI (СТАРОСИНЯВСЬКЕ ВIД-НЯ),СТАРОСИНЯВСЬКИЙ Р-Н
